Date,Rolling 10,Rolling 20,Rolling 50,Rolling 100,Rolling 200
2021-01-04,435968,435968,435968,435968,435968
2021-01-05,385911,385911,385911,385911,385911
2021-01-06,426809,426809,426809,426809,426809
2021-01-07,471499,471499,471499,471499,471499
2021-01-08,436355,436355,436355,436355,436355
2021-01-11,417225,417225,417225,417225,417225
2021-01-12,409966,409966,409966,409966,409966
2021-01-13,390727,390727,390727,390727,390727
2021-01-14,362091,362091,362091,362091,362091
2021-01-15,365267,365267,365267,365267,365267
2021-01-19,362806,369457,369457,369457,369457
2021-01-20,359004,363489,363489,363489,363489
2021-01-21,348796,366799,366799,366799,366799
2021-01-22,324082,366201,366201,366201,366201
2021-01-25,323136,360876,360876,360876,360876
2021-01-26,322509,358027,358027,358027,358027
2021-01-27,335899,366397,366397,366397,366397
2021-01-28,342995,364209,364209,364209,364209
2021-01-29,357288,359563,359563,359563,359563
2021-02-01,348227,356747,356747,356747,356747
2021-02-02,350749,356777,360548,360548,360548
2021-02-03,364033,361519,363736,363736,363736
2021-02-04,349541,349168,359296,359296,359296
2021-02-05,348149,336116,358680,358680,358680
2021-02-08,367476,345306,363516,363516,363516
2021-02-09,365251,343880,360805,360805,360805
2021-02-10,351527,343713,360890,360890,360890
2021-02-11,336587,339791,354344,354344,354344
2021-02-12,328446,342867,348833,348833,348833
2021-02-16,359377,353802,357624,357624,357624
2021-02-17,479717,415233,398990,398990,398990
2021-02-18,480764,422398,400307,400307,400307
2021-02-19,480674,415107,396077,396077,396077
2021-02-22,477622,412886,393663,393663,393663
2021-02-23,488870,428173,399331,399331,399331
2021-02-24,485118,425184,395337,395337,395337
2021-02-25,476357,413942,392097,392097,392097
2021-02-26,483707,410147,388387,388387,388387
2021-03-01,489703,409075,384954,384954,384954
2021-03-02,446116,402747,379747,379747,379747
2021-03-03,311532,395624,377658,377658,377658
2021-03-04,331519,406141,383929,383929,383929
2021-03-05,347853,414264,384862,384862,384862
2021-03-08,364110,420866,386946,386946,386946
2021-03-09,348805,418837,388103,388103,388103
2021-03-10,358656,421887,387363,387363,387363
2021-03-11,366058,421208,386557,386557,386557
2021-03-12,368668,426187,384279,384279,384279
2021-03-15,379294,434498,383799,383799,383799
2021-03-16,396172,421144,383032,383032,383032
2021-03-17,395718,353625,380104,381200,381200
2021-03-18,402000,366759,387464,387404,387404
2021-03-19,429608,388730,391294,393305,393305
2021-03-22,421409,392760,387075,393328,393328
2021-03-23,405847,377326,386827,391329,391329
2021-03-24,409654,384155,388238,391343,391343
2021-03-25,405102,385580,386989,389811,389811
2021-03-26,411434,390051,388678,388961,388961
2021-03-29,415719,397506,394090,389209,389209
2021-03-30,407230,401701,391425,387065,387065
2021-03-31,424248,409983,392393,388257,388257
2021-04-01,399017,400508,395466,389277,389277
2021-04-05,373191,401399,396173,390112,390112
2021-04-06,393488,407448,400956,393353,393353
2021-04-07,387001,396424,399600,390663,390663
2021-04-08,376907,393281,399117,389156,389156
2021-04-09,372826,388964,394374,387276,387276
2021-04-12,373095,392264,394698,386627,386627
2021-04-13,382003,398861,399033,388164,388164
2021-04-14,392937,400084,400367,387904,387904
2021-04-15,424631,424440,407169,393380,393380
2021-04-16,434702,416859,409600,395586,395586
2021-04-19,429420,401305,412149,395497,395497
2021-04-20,395521,394504,410430,393646,393646
2021-04-21,399989,393495,406102,391907,391907
2021-04-22,427470,402188,411561,394197,394197
2021-04-23,438908,405867,411850,393981,393981
2021-04-26,444355,408725,416252,394028,394028
2021-04-27,436967,409485,420737,394342,394342
2021-04-28,428176,410556,414126,392938,392938
2021-04-29,383337,403984,387893,392140,392140
2021-04-30,371783,403242,387804,392683,392683
2021-05-03,356845,393132,387383,390840,390840
2021-05-04,365813,380667,388068,390333,390333
2021-05-05,366618,383304,381652,388932,388932
2021-05-06,344244,385857,383386,388389,388389
2021-05-07,336579,387743,383895,387383,387383
2021-05-10,321708,383031,383852,385810,385810
2021-05-11,314083,375525,385613,385324,385324
2021-05-12,309766,368971,386856,383697,383697
2021-05-13,294544,338940,384496,381415,381415
2021-05-14,274104,322943,376321,379794,379794
2021-05-17,274005,315425,372614,378277,378277
2021-05-18,296372,331092,374520,380337,380337
2021-05-19,298236,332427,371538,379385,379385
2021-05-20,290823,317534,369820,378226,378226
2021-05-21,304913,320746,371665,378881,378881
2021-05-24,314936,318322,373105,378578,378578
2021-05-25,341973,328028,378149,380945,380945
2021-05-26,409098,359432,389441,386237,386237
2021-05-27,468944,381744,399141,389622,390081
2021-05-28,480918,377511,392105,389784,389708
2021-06-01,525176,399591,391727,391511,392539
2021-06-02,502702,399537,390779,388927,392103
2021-06-03,511531,404884,392675,389751,391970
2021-06-04,508442,399633,389577,388907,390510
2021-06-07,496338,400625,389913,388451,389858
2021-06-08,493129,404032,389445,389061,389185
2021-06-09,453840,397906,385773,389932,387633
2021-06-10,387465,398282,385488,388456,386348
2021-06-11,341435,405189,382578,387485,385699
2021-06-14,330739,405828,378449,386958,384443
2021-06-15,289014,407095,374892,385533,383377
2021-06-16,289691,396196,370020,385488,383119
2021-06-17,308571,410051,376989,388294,384718
2021-06-18,347690,428066,383734,391425,386819
2021-06-21,354128,425233,386173,390274,386804
2021-06-22,361342,427236,387094,390896,386825
2021-06-23,378046,415943,384982,392007,386827
2021-06-24,393227,390346,385546,392956,386922
2021-06-25,397742,369588,377200,392185,386694
2021-06-28,419378,375058,375384,392492,387307
2021-06-29,413663,351338,371740,391945,385840
2021-06-30,404824,347258,371880,391155,384870
2021-07-01,390261,349416,375043,390573,385161
2021-07-02,362164,354927,370673,391117,384862
2021-07-06,371457,362792,372683,392267,385596
2021-07-07,375167,368255,373256,394754,385914
2021-07-08,377950,377998,373178,396958,386139
2021-07-09,370787,382007,374068,394097,385680
2021-07-12,366592,382167,373851,380872,385160
2021-07-13,371790,395584,375386,381595,386131
2021-07-14,391647,402655,378701,383042,386276
2021-07-15,401723,403274,379062,383565,386127
2021-07-16,412512,401386,384222,382937,387187
2021-07-19,439123,400643,389648,386517,388852
2021-07-20,459375,415416,397242,390568,390981
2021-07-21,474449,424808,403805,393828,392330
2021-07-22,491008,434479,408563,397088,393684
2021-07-23,531810,451298,418477,402667,396118
2021-07-26,535013,450803,421945,403220,395787
2021-07-27,560996,466393,432764,404543,398446
2021-07-28,618735,505191,447647,410130,402532
2021-07-29,623204,512463,444429,409475,402591
2021-07-30,630837,521674,450742,411140,403991
2021-08-02,613409,526266,454166,411993,404232
2021-08-03,608766,534070,458013,414839,405796
2021-08-04,586359,530404,458089,415597,405440
2021-08-05,570412,530710,454251,416200,405544
2021-08-06,529634,530722,442585,416013,405019
2021-08-09,522946,528979,432746,415943,404209
2021-08-10,489642,525319,434509,413307,404445
2021-08-11,426897,522816,427991,409859,404125
2021-08-12,418400,520802,427568,409174,403617
2021-08-13,430503,530670,434537,413606,405701
2021-08-16,471005,542207,446678,418128,408513
2021-08-17,491843,550304,457114,423513,411277
2021-08-18,572020,579190,473867,431656,415983
2021-08-19,617128,593770,486909,436341,418852
2021-08-20,649415,589524,494974,440231,420294
2021-08-23,691747,607346,502808,442693,422068
2021-08-24,682855,586248,504932,441691,421631
2021-08-25,682047,554472,506598,440745,421175
2021-08-26,693795,556097,508389,439204,421311
2021-08-27,654069,542286,503636,440313,420754
2021-08-30,601911,536458,497522,440628,420163
2021-08-31,562961,527402,498880,442527,420360
2021-09-01,496101,534060,500819,443957,420752
2021-09-02,452580,534854,501816,443399,420847
2021-09-03,417227,533321,499775,442660,420114
2021-09-07,386315,539031,500522,438861,419977
2021-09-08,382824,532839,497621,436503,419375
2021-09-09,378664,530355,499598,435669,418718
2021-09-10,372758,533276,501976,436928,418521
2021-09-13,421976,538022,509979,442511,420824
2021-09-14,429326,515618,510955,440814,420684
2021-09-15,413334,488147,507256,439969,419963
2021-09-16,400547,448324,505895,439576,419617
2021-09-17,421989,437284,510623,441901,420911
2021-09-20,453714,435471,516360,445214,421980
2021-09-21,443145,414730,515833,444842,421257
2021-09-22,437971,410397,510858,443122,420397
2021-09-23,436448,407556,508558,443629,419687
2021-09-24,424328,398543,506497,442780,418836
2021-09-27,403096,412536,508096,446159,419865
2021-09-28,457807,443567,514692,452170,422680
2021-09-29,464090,438712,508199,452720,422323
2021-09-30,453496,427022,501705,452755,421419
2021-10-01,452701,437345,502962,455763,422593
2021-10-04,453509,453612,500700,459589,423640
2021-10-05,455842,449493,499999,460972,423068
2021-10-06,475484,456727,493755,463260,423266
2021-10-07,484553,460500,481722,464684,423048
2021-10-08,485851,455089,479026,461727,422291
2021-10-11,452751,427923,472479,461611,421552
2021-10-12,415951,436879,475200,464683,422336
2021-10-13,423149,443620,471075,464544,422365
2021-10-14,438341,445919,472101,465095,422274
2021-10-15,407613,430157,470402,462327,421840
2021-10-18,376671,415090,470107,456346,421291
2021-10-19,377161,416501,470842,451794,420708
2021-10-20,356345,415914,467096,450802,420293
2021-10-21,350769,417661,466496,447244,419377
2021-10-22,343015,414433,463949,445759,417343
2021-10-25,344655,398703,455309,444923,417337
2021-10-26,310834,363393,443166,444922,416915
2021-10-27,302445,362797,433196,445155,416803
2021-10-28,315810,377075,420859,447363,418212
2021-10-29,330596,369104,413096,450002,419967
2021-11-01,338001,357336,407825,451400,419928
2021-11-02,361377,369269,404768,453788,420637
2021-11-03,382938,369641,407112,456022,421490
2021-11-04,378312,364541,405749,456173,420853
2021-11-05,413860,378438,407962,458176,421832
2021-11-08,412966,378811,407089,455362,421828
2021-11-09,408121,359478,404408,450965,421195
2021-11-10,388351,345398,398274,448577,419425
2021-11-11,352050,333930,392049,446434,418665
2021-11-12,319261,324929,386432,444124,418066
2021-11-15,300313,319157,384442,442108,417532
2021-11-16,272810,317093,382067,441295,416740
2021-11-17,241877,312407,378923,438272,415382
2021-11-18,243478,310895,378712,439155,415550
2021-11-19,231027,322444,379616,440796,415976
2021-11-22,250689,331828,372831,441405,415989
2021-11-23,312811,360466,381105,446030,418573
2021-11-24,367115,377733,389030,448143,420205
2021-11-26,411646,381848,394269,450082,422418
2021-11-29,438769,379015,389788,450206,423582
2021-11-30,474594,387453,388618,452489,423293
2021-12-01,482533,377671,389944,452889,416880
2021-12-02,496717,369297,390672,450765,416180
2021-12-03,490882,367180,389599,449078,416060
2021-12-06,470583,350805,388867,447682,415624
2021-12-07,460668,355678,384346,446221,414579
2021-12-08,400332,356571,369610,442151,414334
2021-12-09,354245,360680,367061,437630,414099
2021-12-10,323969,367808,368363,435034,414431
2021-12-13,305127,371948,360273,431617,414353
2021-12-14,279025,376809,353721,427210,414938
2021-12-15,266115,374324,351999,425999,414610
2021-12-16,275930,386323,350761,422258,413400
2021-12-17,303220,397051,353332,417527,413829
2021-12-20,305049,387816,352707,415867,412671
2021-12-21,286475,373571,351090,411785,411462
2021-12-22,307806,354069,347981,411590,411792
2021-12-23,319945,337095,346420,408748,411793
2021-12-27,304995,314482,341694,406898,411247
2021-12-28,295048,300087,337760,404081,410141
2021-12-29,282133,280579,334813,402460,409237
2021-12-30,273109,269612,331189,401015,408479
2021-12-31,247049,261489,328902,397999,405653
2022-01-03,229855,266538,329149,397823,403841
2022-01-04,258921,281985,335888,399919,404546
2022-01-05,279130,282802,337986,396647,405127
2022-01-06,299526,303666,345719,394443,406285
2022-01-07,295999,307972,345131,389163,406338
2022-01-10,333959,319477,345324,383092,407374
2022-01-11,350228,322638,341687,377391,406866
2022-01-12,370919,326526,341397,374611,407421
2022-01-13,384659,328884,335845,370306,406500
2022-01-14,413219,330134,334958,371035,406363
2022-01-18,420248,325052,337537,371643,406194
2022-01-19,397167,328044,332550,370256,404730
2022-01-20,387058,333094,332804,369946,405129
2022-01-21,361218,330372,336339,370373,405501
2022-01-24,380882,338440,343637,370956,406741
2022-01-25,356167,345063,346147,369098,406527
2022-01-26,350067,350148,347848,367140,405269
2022-01-27,336836,353877,348701,366571,404616
2022-01-28,331672,358166,347618,364842,401852
2022-01-31,316149,364684,349813,364368,400435
2022-02-01,312680,366464,351377,365044,400357
2022-02-02,329720,363444,352288,365952,401440
2022-02-03,316698,351878,346006,359418,400965
2022-02-04,297173,329196,333211,357158,398986
2022-02-07,260073,320478,322229,355630,397799
2022-02-08,248577,302372,313533,353901,396738
2022-02-09,247127,298597,309519,349654,395777
2022-02-10,237619,287227,301306,344962,395088
2022-02-11,228612,280142,296833,343389,394115
2022-02-14,248486,282318,300167,345419,394270
2022-02-15,255979,284329,304396,346998,395314
2022-02-16,270392,300056,312250,350559,396669
2022-02-17,302518,309608,314376,349361,397760
2022-02-18,327578,312376,318660,344135,398153
2022-02-22,351287,305680,321637,344349,398535
2022-02-23,410661,329619,330872,349618,401186
2022-02-24,457850,352488,340064,350169,402966
2022-02-25,512751,375185,348051,350886,405237
2022-02-28,527636,378124,349138,350568,405770
2022-03-01,523514,386000,349683,350222,406741
2022-03-02,513817,384898,346516,349924,407304
2022-03-03,497717,384055,350784,351745,406736
2022-03-04,576190,439354,372319,361705,411658
2022-03-07,590993,459286,375298,361639,413161
2022-03-08,598809,475048,377410,361915,413230
2022-03-09,553536,482099,380580,361137,413116
2022-03-10,515324,486587,384119,360940,411633
2022-03-11,476948,494849,387014,360914,408630
2022-03-14,497069,512353,393930,362559,407176
2022-03-15,501638,512576,400601,364752,407777
2022-03-16,518574,516195,404259,366704,406974
2022-03-17,506930,502324,400385,368137,406948
2022-03-18,459659,517925,408425,373205,409064
2022-03-21,439612,515303,403315,374517,409720
2022-03-22,438126,518468,405836,375483,410319
2022-03-23,435023,494280,400793,373058,410211
2022-03-24,431507,473415,400375,371031,410516
2022-03-25,434309,455629,399693,370545,410972
2022-03-28,416661,456865,400330,368088,410938
2022-03-29,419528,460583,401863,368411,412216
2022-03-30,405697,462136,401349,369443,412808
2022-03-31,429217,468073,406795,369672,413924
2022-04-01,396386,428023,410290,371547,413455
2022-04-04,404871,422241,412046,374192,412579
2022-04-05,393152,415639,408289,375963,412270
2022-04-06,408692,421858,411298,378723,412578
2022-04-07,412510,422008,412863,380356,412240
2022-04-08,427357,430833,417797,383249,412679
2022-04-11,435015,425838,420998,384308,412801
2022-04-12,440655,430091,426764,388288,413280
2022-04-13,463936,434817,431601,391489,415322
2022-04-14,465749,447483,434001,393145,416970
2022-04-18,445520,420953,436055,391030,416218
2022-04-19,436343,420607,439880,386545,416288
2022-04-20,443525,418338,444980,383604,415874
2022-04-21,481507,445099,457884,385709,417895
2022-04-22,510312,461411,465501,387510,418858
2022-04-25,551708,489533,480615,390960,421725
2022-04-26,577054,506034,490687,393760,423324
2022-04-27,573603,507129,491788,395977,423371
2022-04-28,581786,522861,496762,400579,424829
2022-04-29,581254,523502,496173,404212,425947
2022-05-02,622809,534165,500113,407244,426733
2022-05-03,663110,549727,506986,412823,427487
2022-05-04,689614,566569,512645,417141,427386
2022-05-05,679547,580527,511661,421266,428150
2022-05-06,666941,588627,507319,423691,427654
2022-05-09,627666,589687,503598,425825,426517
2022-05-10,633362,605208,511832,430485,428242
2022-05-11,630213,601908,513127,431405,426832
2022-05-12,589841,585814,511967,429241,423384
2022-05-13,568217,574736,510273,430529,423198
2022-05-16,550692,586751,495013,433666,422725
2022-05-17,526243,594676,494036,434667,423129
2022-05-18,491701,590657,491223,434317,421532
2022-05-19,461235,570391,493201,436890,421894
2022-05-20,509197,588069,506093,445106,424594
2022-05-23,510777,569222,510364,448689,425575
2022-05-24,492955,563158,511009,452469,426742
2022-05-25,588059,609136,530412,465506,431753
2022-05-26,616935,603388,531639,467949,432886
2022-05-27,670833,619525,543054,471720,435819
2022-05-31,682068,616380,539495,473960,435304
2022-06-01,674823,600533,541078,472196,433320
2022-06-02,690831,591266,541764,473800,431482
2022-06-03,706176,583705,547431,474112,428602
2022-06-06,651435,580316,550079,475227,426309
2022-06-07,628667,569722,549235,474464,424537
2022-06-08,602403,547679,548158,474244,422275
2022-06-09,481106,534583,542727,472295,421665
2022-06-10,461557,539246,542811,472080,421861
2022-06-13,422518,546675,541714,474255,422255
2022-06-14,399642,540855,540146,475218,422582
2022-06-15,396087,535455,539321,475683,423028
2022-06-16,383658,537245,539866,474078,422517
2022-06-17,394129,550152,544519,477908,423503
2022-06-21,394967,523201,546570,479717,423428
2022-06-22,440369,534518,551837,484817,425694
2022-06-23,447155,524779,550586,485792,425317
2022-06-24,459317,470212,546460,486612,425490
2022-06-27,462324,461941,542489,487045,426044
2022-06-28,444127,433322,537390,485695,425824
2022-06-29,433829,416735,537808,486931,423175
2022-06-30,428595,412341,537771,488826,422992
2022-07-01,426012,404835,536363,490671,423150
2022-07-05,383499,388814,524917,491401,422651
2022-07-06,374151,384559,519338,492419,421037
2022-07-07,330562,385465,507608,494111,419537
2022-07-08,337643,392399,502703,496695,420042
2022-07-11,330646,394982,497868,494828,420124
2022-07-12,317099,389712,489551,493157,420077
2022-07-13,322582,383354,485655,490914,420737
2022-07-14,340925,387377,481431,490772,420066
2022-07-15,336991,382793,472548,489767,416951
2022-07-18,326651,376331,463771,488208,416279
2022-07-19,338560,361030,456720,484190,416904
2022-07-20,349062,361607,455762,481541,415855
2022-07-21,393521,362041,460779,482188,416537
2022-07-22,392722,365182,454576,483204,416886
2022-07-25,393233,361939,450472,481800,416011
2022-07-26,383497,350298,448282,480125,415024
2022-07-27,376921,349752,447396,478835,415290
2022-07-28,379745,360335,447242,471127,416416
2022-07-29,411993,374492,449698,471867,416753
2022-08-01,435904,381278,452611,471917,416916
2022-08-02,431841,385201,450841,472021,416579
2022-08-03,473776,411419,448678,477386,419163
2022-08-04,427797,410659,444183,477273,419094
2022-08-05,407327,400025,437450,474230,418394
2022-08-08,419166,406199,416693,473553,419152
2022-08-09,429191,406344,410734,471186,418945
2022-08-10,424587,400754,398147,470601,419369
2022-08-11,417738,398742,394376,466935,420070
2022-08-12,374783,393388,389690,465384,419951
2022-08-15,361664,398784,386778,464271,419877
2022-08-16,375700,403770,384746,466089,419573
2022-08-17,501203,487490,418632,484355,427693
2022-08-18,530521,479159,424554,486894,428719
2022-08-19,565288,486308,430027,489092,428590
2022-08-22,556001,487583,431672,487200,427805
2022-08-23,564685,496938,431359,487085,428264
2022-08-24,563742,494165,426392,484053,426863
2022-08-25,545841,481789,423616,481881,426714
2022-08-26,559014,466899,422275,480798,427495
2022-08-29,554401,458033,420926,480396,428180
2022-08-30,566132,470916,419146,481833,430278
2022-08-31,406671,453937,420973,483772,432064
2022-09-01,381507,456014,412781,482309,432779
2022-09-02,353141,459215,411224,480905,432606
2022-09-06,366904,461453,413190,479825,434057
2022-09-07,364740,464712,411842,477165,434327
2022-09-08,369715,466728,411510,474450,433797
2022-09-09,384563,465202,413762,475785,433408
2022-09-12,394825,476920,415521,476646,431596
2022-09-13,419674,487038,419659,478011,430808
2022-09-14,412501,489317,424947,474932,430320
2022-09-15,406021,406346,427347,473342,430426
2022-09-16,441589,411548,434987,471297,431129
2022-09-19,445379,399260,432771,467737,430749
2022-09-20,438669,402786,434794,466331,431154
2022-09-21,430372,397556,434497,462024,431302
2022-09-22,440125,404920,435018,460337,432274
2022-09-23,442637,413600,434105,457768,432506
2022-09-26,435639,415232,435251,453899,433361
2022-09-27,407080,413377,435745,449758,433449
2022-09-28,395463,403982,436327,446524,433895
2022-09-29,393818,399920,436298,446030,434861
2022-09-30,359649,400619,428212,444496,435160
2022-10-03,368981,407180,428023,441299,435892
2022-10-04,368919,403794,429932,440202,435804
2022-10-05,391334,410853,436064,442173,435707
2022-10-06,382949,411537,436224,441810,436169
2022-10-07,378761,410699,433908,440575,437120
2022-10-10,375298,405469,427912,438805,436736
2022-10-11,436682,421881,435900,444256,439286
2022-10-12,431338,413401,436227,443534,440212
2022-10-13,470111,431965,435565,442122,443614
2022-10-14,460397,410023,434733,439458,444073
2022-10-17,452456,410718,437049,437249,444859
2022-10-18,443120,406020,434723,425708,445607
2022-10-19,429590,410462,436144,423439,445694
2022-10-20,460781,421865,443462,420805,446262
2022-10-21,455113,416937,441383,417879,445920
2022-10-24,452175,413736,443390,416540,444368
2022-10-25,399228,417955,443413,415095,444448
2022-10-26,400775,416057,441242,412994,443553
2022-10-27,347691,408901,404862,411747,443487
2022-10-28,356798,408597,399988,412271,443367
2022-10-31,354952,403704,394982,412504,443374
2022-11-01,363423,403271,396207,413940,443117
2022-11-02,358272,393931,394861,413110,442595
2022-11-03,327093,393937,396133,411262,442759
2022-11-04,334393,394753,399094,411355,443286
2022-11-07,324303,388239,396448,409362,442522
2022-11-08,311309,355268,394795,407860,440969
2022-11-09,298829,349802,387781,403464,440686
2022-11-10,289185,318438,381365,401169,440443
2022-11-11,277466,317132,379180,395981,440399
2022-11-14,280452,317702,380444,395834,440813
2022-11-15,274418,318920,377710,395450,441031
2022-11-16,263333,310802,374580,393211,440128
2022-11-17,248286,287690,371847,391678,438687
2022-11-18,237228,285811,369627,391695,439313
2022-11-21,241542,282922,365791,390656,439741
2022-11-22,355062,333186,381872,400765,445718
2022-11-23,370432,334630,379368,402157,446779
2022-11-25,374013,331599,374964,401155,446787
2022-11-28,376790,327128,366220,400603,447357
2022-11-29,363522,321987,364073,398422,447559
2022-11-30,358628,316523,361701,398248,446538
2022-12-01,366578,314955,361821,398159,445658
2022-12-02,365757,307021,356973,395996,443455
2022-12-05,365077,301152,354115,394110,442441
2022-12-06,355576,298559,349779,392515,441141
2022-12-07,243880,299471,349232,392488,440348
2022-12-08,224470,297451,345169,390748,437469
2022-12-09,216539,295276,339508,387903,434722
2022-12-12,207611,292200,335812,382012,432100
2022-12-13,220287,291905,334334,381179,432191
2022-12-14,206838,282733,329285,379608,430704
2022-12-15,200061,283319,323567,379815,429970
2022-12-16,219888,292822,324361,380292,429564
2022-12-19,209305,287191,320223,377066,424097
2022-12-20,220267,287921,318772,373342,422604
2022-12-21,219105,231493,305717,370809,421363
2022-12-22,215545,220007,302010,369118,420570
2022-12-23,214877,215708,288461,362013,419699
2022-12-27,208399,208005,285413,360073,418673
2022-12-28,191597,205942,282162,359606,416918
2022-12-29,190713,198775,278804,356763,415158
2022-12-30,180063,190062,273661,354903,413044
2023-01-03,161640,190764,264533,353998,412299
2023-01-04,162407,185856,261682,351533,409234
2023-01-05,166335,193301,261604,352497,408941
2023-01-06,227761,223433,271423,357418,410845
2023-01-09,235267,225406,268909,355075,410582
2023-01-10,263466,239171,271616,338239,411297
2023-01-11,280469,244434,270147,335067,410981
2023-01-12,289388,240493,269049,332016,410554
2023-01-13,291719,241216,264463,330335,408767
2023-01-17,308141,244102,263635,329248,408167
2023-01-18,305847,233743,260283,328208,406131
2023-01-19,299750,231078,254753,326923,404402
2023-01-20,299694,233014,256683,326565,403682
2023-01-23,225856,226808,254333,324564,402480
2023-01-24,224877,230072,254118,320950,401391
2023-01-25,194404,228935,252660,317012,400392
2023-01-26,182661,231565,251186,315183,398746
2023-01-27,172902,231145,247539,313992,397448
2023-01-30,173437,232578,244267,310988,395407
2023-01-31,172743,240442,245517,310049,393607
2023-02-01,181747,243797,246976,309411,391930
2023-02-02,206263,253007,248560,309093,392439
2023-02-03,194852,247273,247345,306568,391607
2023-02-06,199106,212481,223142,302507,390259
2023-02-07,184277,204577,216887,298127,386530
2023-02-08,184797,189600,214816,294890,384116
